input,output
"in several directions at once, all such discs are flipped. For example, all possible legal
moves for Black's first turn are indicated with asterisks in Diagram 1 -- each choice
would result in the flipping of one or the other of the two white disks. For an example of
a move that flips more than one disc, turn to Diagram 4 for a moment. Here, a White
move to d7 would flip 4 discs: d4, d5, and d6 vertically and e6 diagonally.
5. A player with no legal moves must ""pass."" For every turn in which a player must pass,
his opponent continues to take turns, taking discs from the other player's ""tray"" as nec-
essary. Thus, (unlike Reversi) a player cannot ""run out"" of discs.
6. A player may not pass if he has a legal move available.
Othello: Brief & Basic 1
7. If neither player has a legal move, the game ends even if there are still vacant squares on
the board. Most often, the game ends when all 64 squares are filled.
8. Once placed on the board, a disc is never moved again, though it may be flipped repeat-
edly over the course of the game. A disc that currently has its white side facing up 1s
called a white disc and vice versa.
Notation & Terminology. In the discussions that follow, the best way to understand
the diagrams is to use a board and discs, laying out and examining the positions discussed
as you go. Diagram | introduces the basics of Othello notation, as used in the diagrams.
Squares are typically referred to by the letter and number that corresponds to the square, as
According to the above context, answer the following question.
What is the best way to understand the diagrams?",by using a board and discs
"Squares are typically referred to by the letter and number that corresponds to the square, as
indicated along the borders of each diagram. Thus, the second square in the first row is
called the b1 square. Some squares have additional names, as shown in Diagram 1. Thus,
the b1 square 1s also referred to as a C-square. In the case of double diagrams (two grids
with an arrow between): the upper grid shows (1) the board configuration prior to the
move or sequence of moves under discussion (the unnumbered discs) and (2) the move or
sequence of moves under discussion (the numbered discs); the lower grid shows the board
configuration after the move or sequence of moves under discussion has been made. The
numbered discs indicate that you should place discs on the board in the numerical se-
quence shown, flipping the appropriate discs as you do so.
The game of Othello is divided into three phases. The approximate dividing lines are:
Opening: first 20 moves; Midgame: middle 20 moves; Endgame: last 20 moves. Other
important terms will be given in boldface when first mentioned in the sections to follow.
STRATEGY & TACTICS: 21 POINTS
Othello is a game of skill. Luck rarely, if ever, affects the outcome of a game. The
player who can better apply the principles discussed in this handbook will consistently win
against the less well-informed player. Many players remain largely unaware of these prin-
ciples, perhaps because the correct strategy is often subtle and counter-intuitive and there-
According to the above context, answer the following question.
The second square in the first row is referred to as:",b1
"Read the following article and answer the question.
Article: ciples, perhaps because the correct strategy is often subtle and counter-intuitive and there-
fore difficult to discover without assistance. These 21 points attempt to provide this assis-
tance.
The right move. The irony of Othello (as well as many other abstract strategy
games) is that even though the entire board and all the pieces are in full view at all times,
the best move is often far from obvious. Deciding upon the ""night"" move can be analogous
to hunting for buried treasure: you need to know (1) what it is you are looking for and (2)
how to go about finding it. These themes wind their way through every point in this book.
For example, Points #4, #5 & #9 focus on the general characteristics of a good move and
the importance of trying to visual the future consequences of a move. Specific suggestions
as to how to recognize good moves in common midgame positions are made in Point #13
and again in #16. The discussions of openings, endgames, and edge play offer other situa-
tion specific recommendations. Point #21 finally deals with the difficult issue of how to
find the best move when (as often happens in real games) several of the ""rules"" discussed
here lead to conflicting or unclear advice. This book will not supply you with all the an-
swers. But it will give you a good head start.
1. Get More Stable Discs, Not Just More Discs
The object of Othello is to end the game with more discs than your opponent. This
Question: The best title of the passage is   _  .
Answer:",The Best Move
"Read the following article and answer the question.
Article: The object of Othello is to end the game with more discs than your opponent. This
ultimate goal is frequently translated, by many beginning players, into an immediate
goal throughout the game. That is, on each turn, a player will (with few exceptions) take
the move that flips the maximum number of discs. This has been clearly shown to be an
inferior strategy. Actually, disc count is often irrelevant to who is ahead in a game. This
point can not be stated too strongly. In fact, players who consistently flip large numbers
of discs early in the game are among the easiest opponents for experts to defeat! An ex-
2 Othello: Brief & Basic
ample is in Diagram 2. Here, Black has only
one disc on the board, with only four moves
leftin the game. Butif you play the game out, ,
you will find that Black gets all the remain-
ing moves and wins the game 40-24. Clearly,
simply having a lot of discs, even at such a
late point in the game, is not enough to assure
victory. Even games between experts may
end with this sort of turn-around in the last
few moves (though usually not as dramatic as
in this example). The reason this can happen
is that White's disc majority was fragile,
since many of his discs were vulnerable to
being flipped by Black. The point therefore is
not simply to acquire discs, but acquire discs eeeee
that cannot be flipped for the rest of the IAI
game, no matter how the game develops. ' ;
Such discs are called stable discs. Unfortu- Diagram 2: Black to move
Question: The passage is mainly about   _  .
Answer:",how to win the game of Othello
"Read the following article and answer the question.
Article: Such discs are called stable discs. Unfortu- Diagram 2: Black to move
nately, as we will see, stable discs usually
cannot be acquired in any great number until
the endgame. Therefore, the strategy for the
majority of the game focuses on factors other 14
than the relative disc counts of the two
players. These are discussed in the next sev-
eral points.
d f h
cece
Sseee
QOOQOOO
QOOCOOOC!-
Soe
oO aS om Of & Wh
2. Not All Squares Were Created
Equal
A crucial idea that beginning players in-
evitably realize is the importance of the 4
corner squares on the board. It was not coin-
cidental that the 4 empty squares in Diagram
2 were all corner squares. A corner is im-
portant because it can never be flipped. That
is, itis a stable disc. Similarly, possession of Diagram 3: Black to move
discs adjacent to a commer square (once the
corer has been occupied) often means that
the adjacent discs are stable as well. Thus in
Diagram 3, when Black takes the h8 comer,
all the discs in the g and h columns andinthe  ,
seventh and eighth rows, suddenly become
stable discs for Black. Black is well on the
way to winning the game. In fact, possession
of a comer is so critical in the beginning of
the game, that getting one almost always as-
sures victory. Similarly, since the comers
and the edge squares together add up to 28
squares, it is almost impossible to win with-
out occupying at least some of these squares.
An implied corollary to the above princi-
Question: In the game of go, the player who occupies the most squares at the end of the game is the winner.
Answer:",not mentioned
"out occupying at least some of these squares.
An implied corollary to the above princi-
ples is that squares adjacent to corners are ex-
tremely risky to occupy, at least until the cor-
ner itself has been occupied. This is because
these squares can become ""stepping stones"" ' . '
for your opponent to take the corner. This is Diagram 4: White to move
Oo som th f& WwW hi
O
ee
, Je
, Je
eee
Oo a om Ch & WwW hi
Othello: Brief & Basic 3
oOo -— mm oh & iW KI
oOo om  & iW hh
especially true of the X-squares. Taking an X-square early in the game, usually guaran-
tees that the other player will get the adjacent comer. Such a situation is seen in Dia-
gram 4. Itis White's turn, but no matter where White goes, Black will be able to flip the
disc on the X-square (g7) and take the h8 corner on his next move. Very simply, White
should never have gone to the g7 square at this stage of the game. There are similar
problems with C-squares (see Point #6), though they do not guarantee the opponent's
access to the corner nearly as often as X-squares do.
An incorrect, though commonly assumed, implication of the above discussion is that
all squares on the board can be rated as to their absolute value. In this approach the cor-
ners are typically rated as the most valuable, the A and B edge squares as valuable (but
less so than corners), the non-edge squares (particularly those adjacent to the edge) as
still less valuable, and the C- and X-squares as most risky. By this theory, the best move
Question: What is the best move?
===
The answer to the above question is",not enough information
"Read the following article and answer the question.
Article: still less valuable, and the C- and X-squares as most risky. By this theory, the best move
on each turn usually will be the move that occupies the highest rated square to which
the player has a legal move. Unfortunately, a player adopting this strategy will almost
always be defeated by a player using the winning strategies to be discussed in the next
sections.
[Note: Corners often diminish in value near the end of the game, and corner sacrific-
es become quite common among expert players. In such situations, possession of only
one corner may be sufficient to win the
a_b dae fog ih game. Similarly, occupation of C-squares
ning the game. Examples of these situations
CG
() and even X-squares may be crucial to win-
will be discussed extensively in still later
sections. ]
In summary, the incorrect strategies
place an unwarranted value on flipping large
numbers of discs even though they are not
stable and on possessing the A and B edge
squares. Ironically, the correct strategy typi-
cally involves flipping a minimum number
of discs and often avoiding the non-corner
edge squares, at least until later in the game.
These counter-intuitive ideas, though they
may be difficult for the beginning Othello
player to appreciate, are the key to a winning
Othello strategy! Let's look at these ideas in
more detail:
g_ih 3. Control of the Game: Mobility
Optimization and Dynamic
Square Evaluation
Once understood, the logic of the correct
strategy to winning Othello seems quite
Question: Which of the following is the best title of this passage?
Answer:",The Correct Strategy to Winning Othello
"Read the following article and answer the question.
Article: Square Evaluation
Once understood, the logic of the correct
strategy to winning Othello seems quite
straightforward. Your hope is to get your
opponent to make a poor move that will al-
low you to win the game (e.g. get early ac-
cess to a corner etc.). Obviously, your oppo-
nent, especially if he is a skilled player, is
O
O
O
O
not likely to make such a move willingly.
C) Your goal, therefore is to force him to make
a poor move. How can this be accom-
eeeoo00 ® plished? Quite simply, if your opponent has
only very few (ideally just one or two) legal
moves, and they are poor moves, then your
opponent will be required (by the rules of
Diagram 6: Black to move
Othello: Brief & Basic
the game) to make a poor move. In the ex-
treme case, where your opponent has only
one move, he is said to have a forced move. ,
An example is given in Diagram 5. Here,
Black wisely chooses to go to e8. The wis-
dom of Black's move quickly becomes evi-
dent: White now has only one move, to b2,
which will allow Black to get the al corner
and inevitably win the game. A slightly
more subtle example of the same principle is
in Diagram 6. Here, if Black moves to g6(!),
White is again forced to the b2 X-square.
Note that any other move for Black (e.g. f6,
g5) opens up new moves for White, thus
eliminating the forced move to b2.
In more general terms, your goal is move
limitation, or limiting the number of moves
(often referred to as options) that your oppo-
nent has. At the same time you wish to maxi-
Question: Which of the following statements is NOT true?
Answer:",Your opponent is not likely to make a poor move.
"(often referred to as options) that your oppo-
nent has. At the same time you wish to maxi-
mize your own options. Overall, this is re-
ferred to as mobility optimization. This is a ob ¢ de f g h
a mee sese
you have gained control of the game. if you 2 CUCes
can continue to maintain such control, you 3| WOOO
of the power of this approach is demonstrat- 4 “eeee
Sees .
.
OCee@ —-
OOOO”:
OOOO
QOCOO®
oO aS om Of & Wh
co
oa
oo
7
a
—
=]
o
og
—
_
o
—
o
=
i
will almost certainly win. Another example
ed in Diagrams 7, 8, and 9. In all three dia-
grams, Black is contemplating a move to f8
(an A-square). In Diagram 7, such a move
would be a disaster. It flips the whole f col-
umn to Black, and after a White move to a2,
Black would be forced to go to either b2 or
b7 (X-squares) on his next move, losing ei-
ther the al or a8 comer. In Diagram 8, the
move to f8 is moderately successful, but by
flipping the discs at f6 and f7, it cuts off ac-
cess to other squares (particularly g8) which
could be important later. A move to g4
would probably have been better. Contrast
this to the move to f8 in Diagram 9. Here,
the move does not open up any new moves
for White, while it retains the g8 option for
Black. It is an excellent move in terms of
mobility optimization. In fact, after White-
a2, Black-g8, itis now White who will lose a
corner! The point of all this is that the value
of f8 (or any square) is never an absolute. It
is always a function of the current overall
Question: What is the name of the game?
===
The answer to the above question is",not enough information
"Read the following article and answer the question.
Article: of f8 (or any square) is never an absolute. It
is always a function of the current overall
board position. If this is taken into account
properly, then an attempt to rate the relative
(and changing) values of squares is possible
and useful. This is referred to as dynamic
square evaluation. Together with mobility -
optimization, it forms the heart of basic Diagram 9: Black to move
Othello: Brief & Basic 5
Othello strategy.
4. Good Moves and Bad Moves: Gaining Control
What constitutes a good move in Othello? Without reference to specific positions, a
good move can be typically defined in terms of the principles of gaining and maintain-
ing control (with the ultimate aim of acquiring stable discs). That is, a move that in-
creases, maintains or minimally decreases your future mobility while simultaneously
limiting your opponent's mobility is a good move. Unfortunately, applying this princi-
ple to specific positions is often far from a simple matter. Here are some guidelines:
It is technically possible to have control of the game with more discs on the board
than your opponent, with less discs, or with about an equal number of discs. However,
most expert players agree that the easiest way to get control of the game is by maintain-
ing fewer discs than your opponent (1.e. maintaining a low disc count). This is referred
to as evaporation strategy. The rationale for this is that, since your opponent needs to
Question: Which of the following is the easiest way to get control of the game?
Answer:",Maintaining fewer discs than your opponent.
"to as evaporation strategy. The rationale for this is that, since your opponent needs to
flip at least one of your discs to make a legal move, the less discs you have on the board,
the less legal moves he is likely to have (i.e. move limitation). Thus, in Diagrams 7-9,
the f8 move in Diagram 7 could be said to be the worst because it flipped the most discs,
while the move to f8 in Diagram 9 was the best because it flipped the least discs. The
advantages of this approach are so great that if one player makes judicious use of evapo-
ration while the other does not, the evaporation strategist will almost always win.
It may be, particularly in a game between two experts, that neither player can estab-
lish a successful evaporation. The game remains roughly even until the endgame. Alter-
natively, one player may succeed in getting control of the game early and acquiring one
or more comers. At these points, evaporation inevitably becomes less important. After
all, at some point you have to start flipping lots of discs or you cannot win the game.
Thus, the value of each square, in terms of the number of stable discs that will be ac-
quired, becomes more important. For this reason, evaporation strategy tends to have de-
creased importance for endgame play.
Similarly, the ultimate goal remains mobility optimization, not simply evaporation.
A move that flips several discs may at times leave your opponent with less options than
According to the above context, answer the following question.
What is the goal of the game?",to get the most stable discs
"A move that flips several discs may at times leave your opponent with less options than
a move that just flips one disc. For example, if most of your discs are centrally located,
while your opponent's discs are spread out along the periphery, you are said to have
""control of the center."" This is generally desirable. Thus, interior squares are typically
better to occupy than peripheral (or frontier) discs. This is because (1) flipping interior
discs generally does not open up as many new moves for your opponent as flipping
frontier discs would, and (2) maintaining a compact center of connected interior discs
tends to lead to more mobility for yourself than having your pieces scattered around the
periphery. A move that flips only interior
a boc de f g h discs may therefore be more desirable than
= a move that flips mainly frontier discs, even
1 C) if the latter move flips less discs overall.
Note: Black's position in Diagram 5 repre-
2 O CO) ® ® sents good control of the center.
Also, remember that mobility optimiza-
z > Y Op
O O eee tion does not just refer to the number of op-
4 OA tions available. It takes into consideration
both option quantity and option quality.
a eee The more moves you have available, the
greater your option quantity. The more de-
6 (liGe® sirable those moves are, the greater your
3 ‘oe C) option quality. The good player realizes
5 se O O that a smaller number of men quality op-
Fs tions may be more desirable than a larger
According to the above context, answer the following question.
What is the most likely reason the author wrote this?",To help people learn how to play discs
"Read the following article and answer the question.
Article: 5 se O O that a smaller number of men quality op-
Fs tions may be more desirable than a larger
: oe ie number of low quality options. To take an
Diagram 10: Black to move extreme example, it would most commonly
Othello: Brief & Basic
be preferable to have your access limited to 2 corner squares rather than to 4 X-squares.
A special type of frontier disc position is called a wall: an area of frontier discs,
along one side of the board, that are of all one color. Generally, it is inadvisable to form
walls. If your opponent should form one, itis generally advisable not to break across the
wall (e.g. move to the unoccupied squares beyond the wall) unless no other viable
moves remain. The potential problems of forming a wall are illustrated in Diagram 10.
Note the relative merits of a Black move to f7 as opposed to e7. The f7 move forms a
wall on the east side of the board, severely limiting Black's future options, while open-
ing up many new moves for White. Quite simply, it is a bad move. The move to e7,
while it flips the same number of discs, is a far better move. The e7 move flips only in-
terior discs, forming a connected, centrally located cluster of discs for Black. The result
(control of the center) is increased mobility (e.g. Black now has access to b4), while f7
is the only new move opened for White.
Note that edge squares are a partial exception to these generalizations about walls
Question: What is the passage mainly about?
Answer:",The game of Othello.
"Note that edge squares are a partial exception to these generalizations about walls
and evaporation: since a player cannot flip past an edge, a ""wall"" of edge squares is not
a liability in the way that a non-edge wall would be. Thus, in Diagram 6, the wall of
Black discs along the south edge did not hurt
Black since they provided no moves for a boc de f go h
White. Still, expert players are often reluc-
tant to take edge squares in the early part of 1
the game. First, taking edges tends to oppose
trying to get control of the center (but see Di-
agram 11 and Point #16). Second, occupied
edge squares often become liabilities later in
the game for a variety of reasons (see Pot
#7 for one major example).
CIO
e
Ces)
5. Good Moves and Bad Moves:
Planning Ahead
©
©
®
©
QO@Ce®
This point cannot be emphasized enough: O
successful evaporation, mobility optimiza-
tion or whatever, depends not merely on
what is best for the current position, but Diagram 11-A: Mowes 25-26
what 1s likely to be best based on what the
board will be like 2,3, 4 or even more moves
later. It is this ability to see what conse- a oboode f g h
quences a move ts likely to have on subse-
quent moves that separates the expert from 1
the average player. The farther you can ""see""
ahead, the better you will play. A good move
in Othello can almost never be determined
simply by a static view of the current board
position. OC)
One of the unique difficulties of Othello
is that, since many pieces may get flipped 6
Question: What is the author's profession?
===
The answer to the above question is",not enough information
"position. OC)
One of the unique difficulties of Othello
is that, since many pieces may get flipped 6
with each move (particularly in the end- O
game), it can be extremely difficult to visual-
ize the future board position (though com- CO)
puters have little difficulty with this aspect
of Othello). Still, one must do the best one
can. An example that clearly shows the ben- ,
efits of planning ahead is in Diagram 11. Uiagram 11-B: After move 26
Here we see how, with some foresight,
Black can take a superficially even position,
BOCeG8
ee eee
O
®
® ©
® ©
_) ©
O
Oo a om Of & Wo ht
Othello: Brief & Basic 7
Oo a mm Oh fF Wo ht
oO aS om Of & Wh
and gain complete control of the game. The sequence of moves results in Black forcing
White to give up the a8 comer. The a7 move, in particular, took away several of White's
options (i.e. d8, g5, and d3). Thus, the advantages of the a7 move become apparent only
if Black anticipates the consequences of the next several moves. For example, the se-
quence of moves would not have ""worked"" if Black's a3 move had flipped White's disc
at b3. This is because it would have prevented Black's subsequent move 27 to a2.
6. Isolated C-square Traps
We now begin to shift attention away from strategy (the focus of points #1 - #5) and
move towards tactics. Though the dividing line 1s not always clear, strategy tends to fo-
cus on more general discussions of goals and objectives while tactics refer to more spe-
Question: What is probably true about the author?
===
The answer to the above question is",He likes to play Othello
