input,output
"I’d also like to take this opportunity to thank everyone who is involved in the Othello community for 
their support.

With reference to the above context, Who does the speaker want to thank?",everyone who is involved in the Othello community
"I know that the answer to the question ""What is the name of the toolset that is mentioned in the text?"" is in ""I’d particularly like to thank Gunnar Anderson for making WZebra and its toolset for 
making the images in this document freely available."". Can you tell me what it is?",WZebra
"Finally, many deserved thanks go out to my two editors and good friends: Amanda Jones (writing 
style and beginner level feedback) and Edmund Yiu (technical and master level feedback).

Q: Who provided feedback on the book's technical aspects?

Referring to the passage above, the correct answer to the given question is",Edmund Yiu
"Given the following context:

Othello: From Beginner to Master – Tools of the Trade 
Copyright © 2003, Randy Fang 
 
3 
Tools of the Trade 
 
Two Options – High Tech and Low Tech 
 
Before we start, I’d like to take a moment to talk about what equipment you might want to get your 
hands on before reading this book.

answer the following question:

What is the name of the person who wrote Othello?",Randy Fang
"As a minimum requirement, you’ll need to have an Othello board 
of some kind on hand to play a few sample games with yourself or preferably with an opponent to get 
a feel for the rules and principles that I will introduce.

Q: What is the minimum requirement?

Referring to the passage above, the correct answer to the given question is",an Othello board
"If you’re more technologically inclined , I recommend you download WZebra from the Internet 
(http://www.nada.kth.se/~gunnar/othello.html).

With reference to the above context, What is the name of the program recommended?",WZebra
"I know that the answer to the question ""What is the first thing you can do with the board?"" is in ""You can use it to set up the positions presented in the 
book or to play a few quick games to get acquainted with how to play."". Can you tell me what it is?","set up the positions presented in the 
book"
"Extract the answer to the question from the following context.
Question: What is the game called?
Context: For beginning through 
advanced players, the lowest skill setting on WZebra will provide a HIGHLY challenging opponent , 
don’t be discouraged, WZebra is a very strong player.",WZebra
"You might consider downloading one of the 
“weaker” Othello playing programs to play with so you don’t get discouraged.

Q: What kind of Othello playing programs are available?

A:",“weaker”
"A much better idea is to 
seek out competition on the Internet.

Q: What is a better idea than seeking out competition on the internet?

A:",seek out competition on the Internet
"Given the following context:

There are several places that you can play online, here’s a short 
list of some of the sites that are available and the advantages and disadvantages of each: 
 
Gaming Site 
Advantages 
Disadvantages 
 
 
 
MSN Gaming Zone 
(http://zone.msn.com/reversi) 
Slightly “friendlier” interface than 
the rest.

answer the following question:

What is the name of the site that has a slightly friendlier interface than the rest?",MSN Gaming Zone
"Given this review: ""Can’t resume a game after a 
disconnection 
Non-standard color scheme 
Cheaters 
No Timed Games 
Yahoo Games 
(http://games.yahoo.com) 
Ability to resume games after a 
disconnection 
Timed Games 
Starting position is backwards 
Cheaters""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Yes
"Kurnik.pl 
(http://kurnik.pl/en) 
Ability to resume games after a 
disconnection 
Timed Games 
Database of previous games 
Mostly Polish players – Not 
many English speaking players 
Playsite 
(http://www.playsite.com) 
Ability to resume games after a 
disconnection  
Timed Games 
Lack of players 
Vinco Online Games (VOG) 
(http://vogclub.com) 
High quality human competition 
Ability to resume games after a 
disconnection 
Timed Games 
Database of previous games 
Partially effective anti-cheat 
features 
NOT FREE 
Many people have attitude 
problems 
Othello: From Beginner to Master – Othello Notation 
Copyright © 2003, Randy Fang 
 
4 
Othello Notation 
 
 
 
Standard Starting Position 
 
On the left you’ll find the standard Othello starting 
position.

With reference to the above context, What is the name of the Othello game that is available for free?",Othello: From Beginner to Master
"Each side starts with two disks in the 
center of the board.

Q: Each side starts with how many disks?

A:",two
"Standard Othello notation is based on a grid.

With reference to the above context, What is Othello notation based on?",a grid
"I have a new situation: David is trying to learn how to read and write. He is learning how to write letters. He picks up a pen and starts writing on a piece of paper. He starts writing at the top left corner of the paper and moves to the right.

But I can use this background: The 
letters run from left to right and represent the 
columns.

What is an answer for this question: Will David write from left to right or right to left?",left to right
"I have a new situation: John has a spreadsheet with 20 rows and 5 columns. He needs to figure out the total number of cells in the spreadsheet.

But I can use this background: The numbers run from top to bottom 
and represent the rows.

What is an answer for this question: If the numbers are 1-20, what does the 1 represent?",top
"You are given a new situation: Tim is playing a game of battleships with his friend Mike. They are trying to figure out the other person's grid, so they can sink their battleships. Tim announces that he has sunk Mike's battleship because he hit A8. Mike is upset because he doesn't have a battleship in that location.

and a hint : This means that the top-
left corner is A1, the bottom-left corner is A8, the 
top-right corner is H1, and the bottom-right corner 
is H8.

Please answer this question : Will Tim's grid be different or the same as Mike's?",the same
"I have a new situation: David is teaching his friend John how to play the game of Go. David is white and John is black. David is currently winning the game and has disks at E4 and D5. John has disks at E1 and D2.

But I can use this background: In the standard starting position, black 
has disks at E4 and D5.

What is an answer for this question: Who has more disks?",David
"White has disks at D4 
and E5.

With reference to the above context, What color has disks at D4 and E5?",White
"I have a new situation: Dan is looking at a chess board with black pieces. He notices that the pieces are labeled on the top and left edges. He wonders if this is a standard feature of chess boards.

But I can use this background: All the diagrams in this book will have the 
columns and rows labeled appropriately on the 
top and left edges so, while memorization of this 
grid will be helpful, it should not be necessary.

What is an answer for this question: Will the diagrams in this book have the pieces labeled on the top and left edges or not?",yes
"Othello: From Beginner to Master – Rules of Othello 
Copyright © 2003, Randy Fang 
 
5 
Rules of Othello 
 
Objective 
To have the most discs at the end of the game.

Q: How many discs do you want at the end of the game?

A:",the most
"I have a new situation: Two friends played a game of Nim. Dan won the game.

But I can use this background: General Rules 
 
Each player starts with 32 disks at hand.

What is an answer for this question: Which player started with more disks at hand?",Dan
"I have a new situation: Tom is playing with his cat, which loves to play with the cat toys. Tom has a red laser pointer that he uses to play with his cat. The laser pointer has a button that Tom presses to make the light move around in a circle.

But I can use this background: One side of each disk is black, the other side is 
white.

What is an answer for this question: Will the cat be more interested in the white side or the black side of the disk?",the white side
"Question: What do the players do to the disks?

Context: "" 
One player plays their disks white side up and the other player plays their  disks black side up.""

Answer:",plays their  disks black side up
"I have a new situation: Two players, Tom and Jerry, are playing a game of backgammon. Tom wins the game and they both shake hands and agree to play again sometime.

But I can use this background: The player playing their disks white side up is called white, the player playing their disks black 
side up is called black 
 
Black always plays first.

What is an answer for this question: Who played their disks black side up?",Jerry
"I have a new situation: Two players are playing a game of tic-tac-toe. The current board is shown below. 

 
Both players take turns playing valid moves into empty squares.

Given the paragraph above, please answer correctly the following question: Who has the next move?",X
"(Black plays, then White 
plays, then Black plays, then White plays, etc).

Q: Who plays first?

A:",Black
"After playing a valid move, the appropriate 
disks are “flipped” to the current player’s color.

Q: What are flipped to the current player's color?

Referring to the passage above, the correct answer to the given question is",disks
"(See the following example for more details on 
valid moves and flipping disks).

Q: What do you have to do to the disks?

Referring to the passage above, the correct answer to the given question is",flipping disks
" 
If a player has no valid moves– they must pass their turn.

Q: What must a player do when they have no valid moves?

A:",pass their turn
"I have a new situation: David and Victoria are playing a game of backgammon. David plays a turn and then Victoria plays a turn.

But I can use this background: The other player then plays a 
second turn in a row.

What is an answer for this question: Who is playing the second turn?",Victoria
"Given the following context:

If the second player still has no legal moves, they must pass again.

answer the following question:

If Milo has no legal moves, what must he do?",pass again
"This means that a player can potentially move 2, 3, or even 15 times in a row.

Q: What is the maximum amount of times a player can move in a row?

Referring to the passage above, the correct answer to the given question is",15
"When a player 
passes, they give one of their disks to their opponent.

John and Keith are playing a game of disc passing. John passes the disc to Keith. What will John want to do next?",take a disk from Keith
"I have a test where I am given the following article, what is the answer to the question: What is the name of the person who is a former member of the Republican Party? ?

",Gerald Ford
"The game ends when both players have no legal moves – in most cases this is when the 
board has no empty squares left.

Q: When does the game end?

Referring to the passage above, the correct answer to the given question is",when both players have no legal moves
"In rare cases – the game will end because neither player 
has a legal move in the position.

Q: What is the rarest of rare cases?

A:","the game will end because neither player 
has a legal move in the position"
"I have a new situation: David and Timothy are playing a game of Reversi. David just made a move by playing a black disk adjacent to a white disk. Timothy has to respond by making a move that outflanks David's disk.

But I can use this background:  
Valid Moves: 
 
Moves must be played to an empty square adjacent to a disk of the opposing color 
 
You must play a move that “outflanks” disks of the opposing color.

What is an answer for this question: Who can't play a move that outflanks David's disk?",Timothy
"Given the following context:

Disks that are 
“outflanked” are flipped to the color of the disk that was played.

answer the following question:

If you outflank a disk, what happens to it?",flipped to the color of the disk that was played
"Othello: From Beginner to Master – Rules of Othello 
Copyright © 2003, Randy Fang 
 
6 
A Simple Example: 
 
 
STANDARD START POSITION 
AFTER BLACK PLAYS E6 
 
From the standard starting position, black plays a move to the E6 square.

Q: Who wrote Othello: From Beginner to Master?

A:",Randy Fang
"The E4 and E6 disks now 
outflank the disk on the E5 square and the white E5 disk is flipped to black.

With reference to the above context, Which disk is flipped to black?",white E5 disk
"BEFORE WHITE PLAYS F4 
AFTER WHITE PLAYS F4

With reference to the above context, What does the ""AFTER"" line indicate?",AFTER WHITE PLAYS F4
"As the second move of the game, the white player plays to the F4 square.

With reference to the above context, What color is the player?",white
"The disk on E4 is 
outflanked by the D4 and F4 disks and it is flipped to white.

Q: What color is the disk on E4?

A:",white
"Extract the answer to the question from the following context.
Question: What is the name of the person who wrote the book?
Context: Othello: From Beginner to Master – Rules of Othello 
Copyright © 2003, Randy Fang 
 
7 
 
 
BEFORE BLACK PLAYS C3 
AFTER BLACK PLAYS C3 
 
Note that disks can also be outflanked diagonally.",Randy Fang
"Given the following context:

For instance, for the third move of this game, the 
black player plays C3 and the disk on D4 is outflanked by the disks on C3 and E5 and it is flipped.

answer the following question:

What is the name of the game in which the black player plays C3?",third move
"A Few More Complicated Examples: 
 
 
 
BEFORE WHITE PLAYS C5 
AFTER WHITE PLAYS C5

With reference to the above context, Where did White play C5?",AFTER
"In this position, white plays to C5 outflanking the disks on C3 and C4 and they are flipped.

Q: What does white do to C5?

Referring to the passage above, the correct answer to the given question is",outflanking
"Question: What is the name of the disk that is not flipped?

Context: Note that 
there aren’t any “chain reactions” , for instance, even though the disks on D4 and E4 are now 
“outflanked” by the disks on C4 (which just flipped) and F4 – they are NOT flipped.

Answer:",D4
"Given the following context:

Othello: From Beginner to Master – Rules of Othello 
Copyright © 2003, Randy Fang 
 
8 
 
 
BEFORE BLACK PLAYS D2 
AFTER BLACK PLAYS D2 
 
Disks can also be flipped in more than one direction.

answer the following question:

What can be flipped in more than one direction?",Disks
"Question: What is the first letter of the second disk mentioned?

Context: For instance, in the above diagram, white plays 
D2 and the disks D3, D4 and D5 are outflanked by D2 and D6 and the disk on E3 is outflanked by the 
disks on D2 and F4.

Answer:",D
"Othello: From Beginner to Master – Othello Transcripts 
Copyright © 2003, Randy Fang 
 
9 
Othello Transcripts 
 
For full games, Othello transcripts are written in a “60 move” format.

Q: What is the format of Othello transcripts?

A:",60 move
"Each played move is labeled 
with the move number that it was played on.

Q: What is labeled with the move number that it was played on?

A:",Each played move
"The middle 4 squares (the start position) are left 
unmarked as they were there when the game started.

Q: The middle 4 squares are left unmarked because they were there when what?

Referring to the passage above, the correct answer to the given question is",the game started
"Here’s an example of a transcript and the 
corresponding position after 10 moves.

Q: What is a transcript?

Referring to the passage above, the correct answer to the given question is",a position
"Exercise: Play through the transcript below and verify that you end up in the expected position.

With reference to the above context, What is the expected position?",expected position
"Given the following passage

""TRANSCRIPT 
FINAL POSITION 
 
 
In this book, I will often start with a diagrammed example position."",

answer the following question. Note that the answer is present within the text.

Question: What is the narrator's expertise?",book
"If I want to demonstrate some 
concept from that position, I will create a transcript in a similar format.

With reference to the above context, What will I do to show a concept?",create a transcript
"I know that the answer to the question ""What is not labeled?"" is in ""The disks that represent the 
original diagram are unmarked, and the moves that are played are labeled (starting at one)."". Can you tell me what it is?",The disks
"An 
example of this appears on the following page.

Q: What is an example of this?

Referring to the passage above, the correct answer to the given question is",page
"Othello: From Beginner to Master – Othello Transcripts 
Copyright © 2003, Randy Fang 
 
10 
 
 
EXAMPLE POSITION 
EXAMPLE TRANSCRIPT

With reference to the above context, Who wrote the book Othello: From Beginner to Master?",Randy Fang
"I can use this background: The picture to the left displays the resulting board 
after the indicated moves have been played 
Final Position 
 
 
Near the beginning of the book, I will rely heavily on move to move pictures to help you visualize the 
positions and what is happening without needing a board.

Now, I have a new situation: Dan and Bob are playing a game of chess. Dan is white and Bob is black. They are both experienced players.

Answer this question please: Who will most likely win the game?",Dan
"You are given a new situation: John is learning to play chess. After learning the basics his chess teacher is showing him some advanced concepts of chess.

and a hint : As we move on to more advanced topics 
(and you become accustomed to visualizing the resulting positions), I will start using the above 
transcript format to describe games and concepts.

Please answer this question : Will John be able to visualize the resulting positions or not?",yes
"Othello: From Beginner to Master – Othello Transcripts 
Copyright © 2003, Randy Fang 
 
11 
Exercises: The following two games were played at previous World Othello Championships.

Q: What year were the two games played?

Referring to the passage above, the correct answer to the given question is",2003
"I know that the answer to the question ""What do you have to do before you can follow through?"" is in ""Follow 
through them on a real board and verify that you end up in the expected ending position."". Can you tell me what it is?",Follow
"I have a test where I am given the following article, what is an answer for the question: What will happen if you try again? ?

If you didn’t 
you should try again because you must have misflipped.",you must have misflipped
"SEELEY VS.

Q: What does the name SEELEY stand for?

A:","Social, Economic, and Environmental Legal Education for Youth"
"SHAMAN – 2002 WORLD OTHELLO CHAMPIONSHIP – FINALS – GAME 1 
 
 
 
CASPARD VS.

Q: What year was the World Othello Championship?

A:",2002
"MURAKAMI – 1998 WORLD OTHELLO CHAMPIONSHIPS – FINALS – GAME 3 
 
 
 
 
Exercises: Find the valid moves in the following positions.

Q: What is the name of the game?

A:",OTHELLO
"The following positions are taken from a 
game between former US Champion Raphael Schreiber and former US and World Champion Brian 
Rose at the 2000 US National Championships.

Q: What is the name of the player who was the former US and World Champion?

A:",Brian Rose
"Othello: From Beginner to Master – Othello Transcripts 
Copyright © 2003, Randy Fang 
 
12 
 
 
 
1.

Q: What is the name of the book?

Referring to the passage above, the correct answer to the given question is",Othello: From Beginner to Master – Othello Transcripts
"BLACK TO PLAY 
2.

With reference to the above context, Who is black to play?",BLACK
"Given the following context:

WHITE TO PLAY 
 
 
3.

answer the following question:

What is the name of the person who is going to play?",WHITE
"BLACK TO PLAY 
4.

With reference to the above context, What is the name of the game?",BLACK TO PLAY
"Extract the answer to the question from the following context.
Question: What is the first thing that needs to be done?
Context: WHITE TO PLAY 
 
Answers: 
 
1.",WHITE TO PLAY
"D7, F1, F2, F8, G3, G4, G5, G7, H5, and H7 are the legal moves for black 
2.  A2, A4, B1, B2, B7, B8, C1, D1, E8, G7, and G8 are the legal moves for white 
3.  F2, G5, G7, G8, H4, H5, H6, and H7 are the legal moves for black 
4.

Q: What are the legal moves for white?

Referring to the passage above, the correct answer to the given question is","A2, A4, B1, B2, B7, B8, C1, D1, E8, G7, and G8"
"I know that the answer to the question ""What is the first move for white?"" is in ""B1, C1, D1, G1, G2, G3, G8, H4, and H5 are the legal moves for white."". Can you tell me what it is?",B1
"Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
13 
FOR BEGINNERS 
 
Othello 101 
 
I’d like to start with a metaphor.

Q: What is the name of the book?

Referring to the passage above, the correct answer to the given question is",Othello: From Beginner to Master
"I know that the answer to the question ""What is the first step for a beginner to learn?"" is in ""In chess, the first step that a beginner would take is to understand 
the relative value of the different chess pieces."". Can you tell me what it is?","to understand 
the relative value of the different chess pieces"
"A beginner’s book on chess might start by showing 
the readers a short table like the following.

Q: What kind of book is this?

Referring to the passage above, the correct answer to the given question is",chess
"I have a new situation: John and Keith are playing a game of backgammon. After the first round, John has a total value of 25 points, while Keith has a total of 18 points. Based on this information, who is more likely winning the game, John or Keith?

But I can use this background: If the total value of your pieces is more than the value of 
your opponents pieces then you’re probably winning.

What is an answer for this question: If John's pieces are worth more than Keith's, who is more likely winning the game, John or Keith?",John
"Queen 
9 pts 
Rook 
5 pts 
Bishop 
3 pts 
Knight 
3 pts 
Pawn 
1 pts 
 
Using this simple rule, a complete beginner at chess would expect to win more than half of their 
games against another complete beginner who doesn’t know it.

John and Mary are beginner chess players. They play against each other. The person who would win more games is  _  .",John
"Obviously, in any undertaking as 
complex as chess, one simple rule falls far short of complete understanding.

Q: What is the name of the game that is complex?

Referring to the passage above, the correct answer to the given question is",chess
"I read this background article the other day: As a beginner becomes 
more advanced and progresses, they will learn new rules – as well as some exceptions to them.

I am facing a new situation today: A beginner dancer, John, has just attended his first ballet class. Although he enjoyed it, there were many things that he didn't understand. His teacher, Emma, tells him not to worry as this is very common for beginners.

Using the knowledge I have from the background article, how should I answer correctly the following question regarding my new situation: Will John have to learn fewer or more rules as he becomes more advanced?",more
"Extract the answer to the question from the following context.
Question: What will be done?
Context: In 
much the same way, we will begin with a few basic rules of winning Othello and then build on them.",begin with a few basic rules of winning Othello and then build on them
"Given the following context:

Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
14 
Corners Are Good 
For beginning and intermediate players, games often revolve around battles for corners.

answer the following question:

What is the title of the person who wrote Othello 101?",Randy Fang
"As a first 
step, let’s take a look at a classic example of how important corners are.

John is trying to decide whether or not to buy a new house. He is looking at two houses. One has corners that are in good shape. The other house has corners that are falling apart.

Which house has corners that are in better shape?",One
"White To Play 
 
Looking at the above position, a complete beginner might assume that black is winning by a large 
margin.

White has played two moves, and now it is Black's turn. What will Black do next?",play a move that will result in a draw
"After all, black has 59 disks while white only has 1.

With reference to the above context, How many disks does black have?",59
"I have a new situation: Tom and John are playing a game of Reversi. Tom is white and John is black.

But I can use this background: Unfortunately, not very many of black’s 
disks will remain black at the end of the game, in fact, in this position, white will get to play to all four 
corners (because black will have no legal moves) and will win the game.

What is an answer for this question: Who has no legal moves?",John
"Given the following context:

It doesn’t matter what order 
the moves are played in as they all result in the same finishing position.

answer the following question:

If Mona is playing a game of rock paper scissors and she plays rock, what does it matter what order the other players play in?",nothing
"Let’s look at the moves as 
they’re played.

Q: What are we going to look at?

A:",the moves
"WHITE PLAYS A1 
WHITE PLAYS A8 
Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
15 
 
 
WHITE PLAYS H8 
WHITE PLAYS H1 
White wins 40-24!

Q: Who won?

A:",White
"Extract the answer to the question from the following context.
Question: What might be a good question?
Context: A reasonable question at this point might be - Why are corners important?",Why are corners important?
"The simple answer is that 
a corner is a guaranteed stable disk because there are no moves that outflank a corner.

With reference to the above context, Why is a corner a stable disk?",there are no moves that outflank a corner
"Given the paragraph above, please answer correctly the following question:

If Mona is playing a game of disc flipping and she flips a disk to her color, what will happen to the disk next time her opponent flips it her way it will become a stable disk or it will become a flipable disk?",it will become a stable disk
"Given the following context:

Obviously, the more disks 
you have that are guaranteed to be your color at the end of the game, the more likely you are to win 
the game.

answer the following question:

A player with more disks at the end of the game is more or less likely to win?",more
"Given the background: Another great thing about corners is that you can use them to build more stable disks.

and the situation: John was playing with corners. He noticed that some corners were more stable than the others. He labeled those corners as corner A. Then he took another corner, which was less stable. He labeled that corner as corner B.

Answer the following question: Would corner A be less or more stable than corner B?",more
"Given the following context:

Let’s take a look at another fantasy board to demonstrate how stable disks can be built from corners.

answer the following question:

What is the purpose of the example?",to demonstrate how stable disks can be built from corners
"WHITE TO PLAY 
 
Here, white can create stable disks along either the A column or the 1 row by building off of the A1 
corner.

Q: What does white need to create stable disks?

A:",to build off of the A1 corner
"An example of this is on the next page.

With reference to the above context, What is the next page?",next page
"I have a test where I am given the following article, what is an answer for the question: What are the names of the pieces that are not yet stable? ?

Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
16 
 
 
WHITE PLAYS E1 
WHITE PLAYS A5 
 
Note that the 9 white disks on the edge from A1-A5 and from A1-E1 are all stable – however, the 
white disks on B4, C3, and D2, while they can’t be flipped in the current position, are not yet stable.","B4, C3, and D2"
"Refer to the passage below and answer the following question:

Passage: For instance, if white were to play F2 then black could play G2 which would flip the D2 disk.

Question: What would happen if white were to play F2?",black could play G2
"While 
white is guaranteed a score of at least 9 at the end of the game, black has no stable disks at all.

With reference to the above context, What color has no stable disks at the end of the game?",black
"You are given a new situation: Mike is trying to figure out how to store his disks efficiently. He gets a new disk tower and decides to start building off of one corner.

and a hint : Let’s 
take a look at an example illustrating how building off of corners will result in accumulating stable 
disks.

Please answer this question : Will building off of corners result in accumulating stable or unstable disks?",stable
"Extract the answer to the question from the following context.
Question: What is the first step to get more stable disks?
Context: BLACK TO PLAY 
 
Black can play either A7 or H1 and get more stable disks.",Black can play either A7 or H1
"Following the rule that corners are very 
valuable, we will build towards the corner at H1.

Q: What is the corner at H1?

A:","very 
valuable"
"White will then have to pass because white will have 
no legal moves.

Given the question ""What will happen to White?"", what is a valid answer?",have to pass
"Given the following context:

Othello: From Beginner to Master – Othello 101 
Copyright © 2003, Randy Fang 
 
17 
 
 
BLACK PLAYS H1 – WHITE PASSES 
BLACK PLAYS G2

answer the following question:

What is the name of the person who wrote the book Othello: From Beginner to Master?",Randy Fang
"I have a new situation: David and John are playing a game. David has a strategy which he wants to implement, but John keeps on distracting him.

But I can use this background: Since we are building towards the H1 corner, we should try to consolidate the northeast region of the 
board and fill it in with black disks, in the meantime, we are going to save the move to A7 (because it 
won’t go away) until later.

What is an answer for this question: Who should try to consolidate the northeast region of the board?",David
"I have a new situation: White and Black are two players having a game of chess. Black just made his move and it's now White's turn. White has to make a move that will make both players happy, so they can continue playing.

But I can use this background: We’ll play G2 which forces white to play G3 because white has no other 
valid moves.

What is an answer for this question: Who will play G3?",white
"WHITE PLAYS G3 
BLACK PLAYS H3 
 
Othello: From Beginner to Master – Othello

Q: Who plays G3?

A:",WHITE
"101 
Copyright © 2003, Randy Fang 
 
18 
 
After white plays G3, we’ll play H3 because this gives us 3 more stable disks and helps consolidate 
even more of the northeast region to black.

Q: How many stable disks will the play give black?

Referring to the passage above, the correct answer to the given question is",3
"Again, we’ll leave white a move here.

Q: What color is white?

A:",white
"Given the following context:

Often, when you’re 
building you’ll need to leave moves for your opponent.

answer the following question:

What will you need to do before this?",need to know your opponent’s moves
"I have a new situation: A game of Go is being played by two people, white and black. The game is currently at move 300. White just made his move and black has not made his move yet. The game is being broadcast on television so that millions of people can watch.

But I can use this background: Yes, white gets a disk at G3 and at H2 for the 
moment, however, look how quickly, those disks both turn into stable disks for black in that region.

What is an answer for this question: Which player has made more moves in the game?",black
"Given the background: By 
forcing white to play there after black already has the corner to build off of, black can turn those disks 
into stable black disks.

and the situation: Two players, both experienced, are having a game of Reversi. The person playing black has just made a good move and the person playing white realizes that they are now in a disadvantageous position.

Answer the following question: Which player's disks are less likely to be stable?",white
"WHITE PLAYS H2 
BLACK PLAYS H4 
 
 
WHITE PLAYS H5

With reference to the above context, What does white play?",H2
"BLACK PLAYS H6 
Othello: From Beginner to Master – Othello

Q: What is the name of the book?

A:",Othello: From Beginner to Master
"101 
Copyright © 2003, Randy Fang 
 
19 
 
 
BLACK PLAYS G4 
BLACK PLAYS G5 
 
Let’s stop here and assess the situation.

With reference to the above context, Who is the copyright holder of the game?",Randy Fang
