input,output
"I read this background article the other day: and it was clear to all who attended that the Japanese knew something about Othello
that remained largely a mystery to everyone else.

I am facing a new situation today: The Japanese army attended a meeting with the US army. The meeting was about a certain secret Japanese weapon. The US army didn't know what the weapon was, but the Japanese army knew something about it.

Using the knowledge I acquired from the background article, how should I answer correctly the following question regarding my new situation: Who knew something about Othello?",Japanese army
"Jonathan Cerf, George Sullivan and the
rest of the original USOA members set out to discover what that was.

With reference to the above context, What did Jonathan Cerf and George Sullivan set out to discover?",what that was
"They were quite suc-
cessful: Jonathan went on to become the 1980 World Champion, the first non-Japanese
player to do so.

Q: Who was the first non-Japanese player to win the World Champion?

A:",Jonathan
"Question: ""What is the first step of the tournament?""

Context: ""Immediately after its inception, the USOA began the sponsorship of tournaments, es-
pecially the annual U.S. National Championship (the winner of which competes in the
World Championship).""

Answer:",the sponsorship of tournaments
"The USOA (largely through the efforts of Jonathan and George)
also began publication of Othello Quarterly (OQ) as a means of disseminating informa-
tion about Othello.

Q: What is the name of the publication that was created by the USOA?

Referring to the passage above, the correct answer to the given question is",Othello Quarterly
"Given the following passage

""At the present time, the USOA continues to serve the Othello commu-
nity, maintaining a world wide membership of several hundred players."",

answer the following question. Note that the answer is present within the text.

Question: What does the O in ""USOA"" stand for?",Othello
"I heard that I was not one of the original members.

And I was wondering How would you describe Aubrey?",not one of the original members
"However, I had been playing Othello for sever-
al years when I first became aware of and joined the USOA in 1980.

Q: What was the name of the organization that the author joined?

Referring to the passage above, the correct answer to the given question is",USOA
"Given the following context:

By studying articles
in OQ, I set about to change what I discovered to be my largely wrong notions about
Othello strategy.

answer the following question:

What did the writer want to change?",my largely wrong notions about Othello strategy
"Extract the answer to the question from the following context.
Question: What did I do after learning enough?
Context: Eventually, I felt I had learned enough to attempt writing an article my-
self.",write an article my-
"Question: ""When did the OQ publish it?""

Context: ""It appeared in the Winter 1980/81 issue of OQ.""

Answer:",Winter
"Given the following context:

Over the next several years, I contrib-
uted more than a dozen articles to OQ.

answer the following question:

What will happen to Others after the event?",read the articles
"Along the way, I also became one of the USOA's
top-rated tournament players.

Given the question ""What was the narrator a part of?"", what is the answer ""tournament players""?",tournament players
"In 1984, I assumed the Editorship of OQ.

Q: What position did I assume in 1984?

Referring to the passage above, the correct answer to the given question is",Editorship
"That same year, I had the good fortune to
win the U.S. National Championship.

Q: What was the person's good fortune?

A:",winning the U.S. National Championship
"I went on to the World Championship, where I
finished third.

Given the question ""What does the speaker need to do before this?"", what is the answer?",qualify
"With the confidence from my tournament victories and the resources availa-
ble to me as Editor of OQ, I decided that now was an appropriate time to attempt a project
of long-standing interest: to write an introductory handbook on Othello strategy and tac-
tics.

Q: What was the narrator's job?

A:",Editor of OQ
"It was clearly something that the USOA needed.

Q: What does the USOA need?

Referring to the passage above, the correct answer to the given question is",something
"It was becoming increasingly diffi-
cult (and unrealistic to expect of new members) to learn the fundamental principles of
Othello strategy by sorting through the ever increasing collection of largely unrelated arti-
cles appearing in the back issues of OQ.

Q: What was the OQ?

Referring to the passage above, the correct answer to the given question is",Othello strategy
"Given the following passage

""A concise, synthesized, easily accessible single
resource was the obvious alternative: a Beginner's Handbook, as it came to be called."",

answer the following question. Note that the answer is present within the text.

Question: What is the first word in the passage?",A
"Another potential value of this project would be to serve as an antidote for all the misinfor-
mation about Othello that has been printed in various books over the years.

Q: What is the potential value of the project?

A:",to serve as an antidote for all the misinfor-
"For example, a
recent book describing popular ""indoor games"" had the following to say about Othello: ""It
is not easy to see ahead accurately more than a move or two...""

Q: What is a popular indoor game?

Referring to the passage above, the correct answer to the given question is",Othello
"This is patently false, as the
information presented in this book will demonstrate.

Q: What will the book show?

Referring to the passage above, the correct answer to the given question is",this is patently false
"I heard that With all this in mind, I began to work on the Beginner's Handbook project.

And I was wondering How would you describe the speaker?",a writer
"The result
was the original version of ""Othello: Brief & Basic,"" which appeared (starting in Spring
of 1985) as a series of three articles published in separate issues of OQ over the course of a
year.

Q: When did ""Othello: Brief & Basic"" first appear?

Referring to the passage above, the correct answer to the given question is",Spring of 1985
"The issues containing these articles were well received and subsequently became rec-
ommended reading for all new USOA members.

Q: What happened to the issues containing the articles?

Referring to the passage above, the correct answer to the given question is",became rec-
"There seemed to be sufficient mterest to
justify revising Brief & Basic and combining the three parts into one integrated book.

With reference to the above context, How many parts was Brief & Basic broken into?",three
"Given the following context:

Thus the revised edition of Othello: Brief & Basic was born.

answer the following question:

What was born?",the revised edition of Othello
"I have a new situation: Mary was reading a book and she liked it very much. The book had a table of contents and an index.

But I still need to know: What does Mary need to do before this?

Here is the answer: buy the book",buy the book
"I also added an appendix containing 11 game transcripts for fur-
ther study and analysis.

Q: What was the appendix for?

Referring to the passage above, the correct answer to the given question is",fur-
"On the other hand, I chose to eliminate the footnotes of the original
version — most of them references to relevant articles from previous issues of OQ — rather
than have them interrupt the flow of the text.

Q: Why did the writer choose to eliminate the footnotes?

A:",rather than have them interrupt the flow of the text
"As an alternative, I have included a separate
reference section that contains a listing of almost all of the cited articles.

Q: What is the alternative I have included?

A:",a separate reference section
"Othello: Brief & Basic Vv
This is in no way meant to diminish the debt I owe to my fellow authors of OQ arti-
cles.

With reference to the above context, What does Othello owe to his fellow authors?",debt
"Thus, I again wish to thank George Sullivan, Jonathan Cerf, Amold Kling and the
others without whose writing and insights this Handbook would have taken much longer to
complete (if it ever would have been completed at all).

With reference to the above context, What does the author want to thank George Sullivan, Jonathan Cerf, Amold Kling and the others for?",writing and insights
"Extract the answer to the question from the following context.
Question: What is the Handbook?
Context: In a more general way, this
Handbook has also benefited from the work of still more people.",this
"In particular, I want to ex-
press my gratitude to Brian Rose, David Shaman and the rest of the USOA's top tourna-
ment players (together with our Othello colleagues in other countries).

Q: Who is Brian Rose?

A:",top tourna-
"I have a test where I am given the following article, what is an answer for the question: What has been pushed? ?

It has been their
skill and expertise that has ""pushed the envelope"" of what we know about Othello today.",what we know about Othello today
"Extract the answer to the question from the following context.
Question: Who is Clarence Hewlett?
Context: My thanks similarly go to Clarence Hewlett, Dan & Kathe Spracklen, Charlie Heath, Peter
Frey and the other computer programmers whose Othello programs have served as a much
needed source of analytical information, especially in the area of endgame play.",computer programmers
"I have a new situation: Two Othello players attended a tournament. Dan won several games in a row, but lost to Jim. Dan was very happy with his performance.

But I can use this background: As a result
of the efforts of all these individuals, the level of play of tournament Othello in this coun-
try (as well as in the rest of the world!) has improved exponentially over the last 10 years.

What is an answer for this question: Which player didn't attend a tournament?",Jim
"Finally, some comments and advice to readers who are approaching Brief & Basic for
the first time.

Q: What is the name of the book being discussed?

A:",Brief & Basic
"It has been commented that this Handbook is neither as brief nor as basic as
the title would imply.

With reference to the above context, What is the Handbook not as brief or basic as the title implies?",this Handbook
"As to its brevity, I can only say that it is considerably shorter than the
more ""complete"" Handbook that I first envisioned.

Q: What is the brevity of the book?

A:","it is considerably shorter than the more ""complete"" Handbook that I first envisioned"
"Extract the answer to the question from the following context.
Question: What did the author do to fit everything in?
Context: To meet the time and space constraints
of appearing within the pages of OQ, it necessitated that I leave much material out.",leave much material out
"I know that the answer to the question ""How would you describe the narrator?"" is in ""Rather
than committing myself to a major expansion for this revision, I have maintained this ap-
proach."". Can you tell me what it is?",committing myself to a major expansion
"Question: ""What is the reader burdened with?""

Context: ""At times this places an extra burden on the reader.""

Answer:",At times this places an extra burden on the reader
"I know that the answer to the question ""What is the purpose of the diagram?"" is in ""For example, one diagram often
serves to illustrate several techniques, where clearly two or three would have made under-
standing the techniques easier."". Can you tell me what it is?",understanding the techniques
"I know that the answer to the question ""What is the main point of the passage?"" is in ""Similarly, there are several explanations of one or two sen-
tences where one or two paragraphs might have helped clarify the matter more."". Can you tell me what it is?",one or two paragraphs might have helped clarify the matter more
"I have a test where I am given the following article, what is the answer to the question: What is the narrator apologizing for? ?

I apologize
for this.",this
"My best advice to compensate for these possible weaknesses is - as stated in the
Handbook - to lay out all the diagrammed positions on a board as you read and play out the
moves under discussion.

Q: What is the best way to compensate for possible weaknesses?

Referring to the passage above, the correct answer to the given question is",lay out all the diagrammed positions on a board
"Another consequence of this emphasis on brevity is that many important ideas are
only mentioned in passing or omitted altogether.

With reference to the above context, What is a result of the emphasis on brevity?",many important ideas are only mentioned in passing or omitted altogether
"Sometimes I comment that a fuller under-
standing would require more space than I could give it.

Q: What would require more space than I could give it?

Referring to the passage above, the correct answer to the given question is",fuller under-
"In the worst cases, I become quasi-
mystical and refer to the necessity of practice and experience as a pre-condition for under-
standing.

With reference to the above context, In the worst cases, what do I become?",quasi-mystical
"If the reader finds these explanations unsatisfactory, I again apologize.

Q: What does the author apologize for?

A:",unsatisfactory
"However,
in a few cases (new to this revision), I discuss some of these additional topics in special
sections labelled as ""digressions"" or ""notes.

Q: What type of sections are labeled as ""digressions"" or ""notes""?

A:",special
"Given the following context:

""

As to how ""basic"" the Handbook is: It is certainly basic in the sense that it assumes no
prior knowledge of Othello (other than perhaps a vague idea of the rules of the game).

answer the following question:

What is the name of the book that assumes no prior knowledge of Othello?",Handbook
"I know that the answer to the question ""What is the book?"" is in ""Even a novice player should be able to follow and implement all of the advice given in this
Handbook."". Can you tell me what it is?",Handbook
"On the other hand, the Handbook does contain a lot of material.

Q: What is the Handbook full of?

A:",material
"Given the following context:

The matters
discussed range from the novice level to the expert level.

answer the following question:

What is the level of expertise of the matters discussed?",expert
"Given this review: ""This is not a breezy tutorial than
can be skimmed in a couple of hours.""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"Question: ""What is the best way to study?""

Context: ""It's probably best if it's studied a few pages at a time,
and always with a board 1n front of you.""

Answer:",studied a few pages at a time
"The material in Points #1 - #8 should be considered essential for all novice Othello
players to know.

Q: What should be considered essential for all novice Othello players to know?

Referring to the passage above, the correct answer to the given question is",The material in Points #1 - #8
"I know that the answer to the question ""What is the last point mentioned in the text?"" is in ""Mastering the information in Points #9 - #16 (particularly the concept of
tempo) should result in still a second important leap forward in playing ability."". Can you tell me what it is?",tempo
"The materi-
al in the remaining points, while representing the greatest technical challenge, is necessary
for anyone hoping to move toward expert level of play.

Q: The material in the remaining points is necessary for anyone hoping to move toward what level of play?

Referring to the passage above, the correct answer to the given question is",expert
"I have very much enjoyed writing this Handbook.

Q: How does the author feel about the book?

Referring to the passage above, the correct answer to the given question is",enjoyed writing this Handbook
"Given the following context:

I hope that Othello players, from
novice to expert, will enjoy reading it and will benefit from doing so.

answer the following question:

What is the purpose of the book?",benefit
"Ted Landau
September 1987

vi Othello: Brief & Basic
Note added for second printing:

I resigned as Editor of OQ in 1986 and shortly thereafter stopped competing in tour-
naments.

With reference to the above context, When did Ted Landau stop competing in tournaments?",shortly thereafter
"Given the following context:

I worked on Brief & Basic until its publication in late 1987.

answer the following question:

What did I work on?",Brief & Basic
"Since then, I have
remained quietly active in the Othello community.

Given the question ""What is the narrator likely to do next?"", what is a valid answer?",continue to be involved in the community
"Given the following context:

I have been gratified with the positive
response to Brief & Basic.

answer the following question:

What has the narrator been pleased with?",the positive response
"Extract the answer to the question from the following context.
Question: What is the second printing?
Context: Due to its continued popularity, a second printing has become
necessary.",Due to its continued popularity
"I know that the answer to the question ""What did the author do?"" is in ""I have taken this opportunity to try(!) to correct all the numerous typographical
errors that had crept into the previous printing."". Can you tell me what it is?",try(!) to correct all the numerous typographical errors
"Extract the answer to the question from the following context.
Question: What did the author do to the text?
Context: I have also made minor changes to the text
in several places, attempting (yet again!)",made minor changes
"to improve the clarity of the discussion.

Q: What is the purpose of this?

Referring to the passage above, the correct answer to the given question is",to improve the clarity of the discussion
"I know that the answer to the question ""What was done to the items?"" is in ""Lastly, a
few items have been updated to reflect the events and trends of the past few years."". Can you tell me what it is?",updated
"I have a test where I am given the following article, what is an answer for the question: What does Othello do? ?

The world of Othello continues to evolve.",The world of Othello continues to evolve
"The best players today are clearly superior
to their counterparts of just a few years ago.

With reference to the above context, Who are clearly superior to their counterparts of just a few years ago?",The best players today
"The Japanese remain the dominant force in in-
ternational competition, and the U.S. similarly remains near the top.

Q: Who is the dominant force in international competition?

A:",The Japanese
"Given the following passage

""However, the overall
level of international competition has improved tremendously — with an increasing number
of excellent players emerging from European countries."",

answer the following question. Note that the answer is present within the text.

Question: What is the main topic of the passage?",international competition
"I read this background article the other day: The game of Othello can only
benefit from these trends.

I am facing a new situation today: David and Goliath are two seasoned Othello players. They play against each other frequently. David has studied some psychology and has devised a plan to use psychological warfare to win the game. Goliath is a bit skeptical, but agrees to try it.

Using the knowledge I have from the background article, how should I answer correctly the following question regarding my new situation: Who is more likely to win the game?",David
"Given this review: ""I hope they continue.""
Would you recommend this app to a friend? Not at all, No, Maybe, Yes, or Definitely?",Definitely
"I have a new situation: Mark is an avid reader and has been reading the Brief & Basic handbook for Othello. His friend Stacy is also an Othello player, but she has not read the Brief & Basic handbook yet.

But I can use this background: My hope for Brief & Basic remains un-
changed: that Othello players, wherever they live and from novice to expert, will enjoy
reading this Handbook and will benefit from doing so.

What is an answer for this question: Who will benefit from reading the Brief & Basic handbook?",Stacy
"Given the following context:

Ted Landau
January 1990

Othello: Brief & Basic vii
INTRODUCTION

Origins.

answer the following question:

What is the first name of the person who wrote Othello?",William
"The origins of the game of Othello remain uncertain, though its similarity to
ancient Oriental games such as Go suggests that Othello may have similar roots.

With reference to the above context, What type of game is Othello?",ancient Oriental games
"Othello's
modem form emerged in England, in the late 1800's, when Lewis Waterman and John
Mollett each separately claimed to have invented the game of Reversi.

With reference to the above context, When did Othello's modern form emerge?","in England, in the late 1800's"
"Question: What does the passage imply about the two people?

Context: Though they each
denounced the other as a fraud, they both probably derived their ideas from related pre-
existing games.

Answer:",they each
"Question: ""What happened to the game?""

Context: ""Reversi remained popular over the next 20 years and then seemed to fade
from view.""

Answer:",seemed to fade from view
"It resurfaced in Japan, in the early 1970's, when Goro Hasegawa refined the
rules of Reversi, making two significant changes (see below), and called the game Othello.

With reference to the above context, Who changed the rules of Reversi?",Goro Hasegawa
"Othello became very popular during the 1970's, with an annual World Championship be-
gun in 1977 and National Championships held in many countries, including the United
States.

With reference to the above context, What year did the first World Othello Championship begin?",1977
"The increase in interest in microcomputers in recent years has also contributed to a
resurgence of mterest in Othello/Reversi.

Q: What has the increased interest in microcomputers contributed to?

Referring to the passage above, the correct answer to the given question is",resurgence of mterest in Othello/Reversi
"This is because the nature of Othello (few rules,
symmetrical board, one type of piece) lends itself to writing computer programs that can
""play"" the game.

Q: What type of program can be written to play Othello?

A:",computer programs
"Given the following passage

""Dozens of programs, widely varying in quality, now exist that play
Othello."",

answer the following question. Note that the answer is present within the text.

Question: What is the subject of the text?",Othello
"Computer Othello tournaments are held periodically throughout the world.

Q: What are held periodically throughout the world?

Referring to the passage above, the correct answer to the given question is",Computer Othello tournaments
"Equipment.

Q: What is the name of the equipment?

Referring to the passage above, the correct answer to the given question is",Equipment
"Othello is played on a 8 x 8 ao bcd ie f qgih
board of 64 squares, similar to a chess board.

Q: What is the size of the Othello board?

A:",8 x 8
"I have a game board with pieces laid out on it. I want to know the answer to this question: What color are the discs on the side that is not black?

Here is the game board: The game pieces are sixty-four discs, black on ' C|A(BIBIA
one side and white on the other.",white
"21Clk ¥ IC
Object.

Q: What is the name of the object?

A:",21Clk ¥ IC
"The object of Othello is to end the 2] A x

With reference to the above context, What is the object of Othello?",to end the 2] A x
"A
game with the majority of discs on the board
having your color facing up.

Q: What is the goal of the game? 

A:",having your color facing up
"Ties are possible.

Q: Are ties possible in soccer? 

Referring to the passage above, the correct answer to the given question is",Yes
"41B

Q: What is the name of the building that houses the office of the President of the United States?

A:",White House
"I am trying to decide whether it's worth it to invest in this stock. To help me I have two tables of data: table A and table B. Table A shows the company's income statement, and table B shows the company's balance sheet.

Which table would show the company's assets?

Hint: * CO © B
Rules.",table B
"A brief summary of the rules follows.

Q: What is the first thing that is stated in the rules?

A:",A brief summary of the rules follows
"5|B eo O al B

Q: What is the first number in the series?

A:",5
"I know that the answer to the question ""What is the third rule?"" is in ""The rule most likely to present difficulty fora 6 | A es A
novice is the one defining a legal move (#4)."". Can you tell me what it is?",defining a legal move
"Given the following context:

This rule is much easier to understand from ex- 71C]X KIC
amples (many of which follow) than to verball
onnlains J % 8 C\A|BIB/A/C
Diagram 1

1.

answer the following question:

What is the full name of the person who has created the diagrams that are much easier to understand from ex-71C]X KIC samples?",J % 8 C\A|BIB/A/C
"A game always begins with four discs placed
as shown in Diagram 1.

David and Gregory are playing a game of disc golf. They both step up to the tee and spin their discs. David spins his disc clockwise while Gregory spins his counter-clockwise. They both release their discs and they fly off into the distance.

Which player's disc will go further?",David
"Refer to the passage below and answer the following question:

Passage: (This differs from
the rules of Reversi, which allows for any position of the four central discs).

Question: What is the name of the game that allows for any position of the four central discs?",Reversi
"Given the following context:

2.

answer the following question:

What is the name of the person that has a pet snake?",Jeff
"I have a new situation: Two players are playing a game of disc golf. They are on the final hole and both have a disc left. The first player, Jim, throws his disc and it lands on the green. The second player, Bob, throws his disc and it lands in the lake next to the green. They both walk onto the green to retrieve their discs.

But I can use this background: One player is assigned Black and always places his discs with the Black side up.

What is an answer for this question: Which player's disc will have the black side up?",Jim
"The
other player is White, and conversely places his discs with the White side up.

Q: What color is the other player?

A:",White
"3.

With reference to the above context, What is the name of the first volume of the book?",The First Book of the Bible
"Black always goes first with Black and White alternating turns thereafter.

Q: Who goes first?

A:",Black
"4.

Q: What is the name of the hotel?

A:",Casino Hotel
"A legal move is defined as follows: a new disc is placed on a vacant square.

Q: What is a legal move?

Referring to the passage above, the correct answer to the given question is",a new disc is placed on a vacant square
"This vacant
square must be adjacent to at least one square already occupied by a disc of the oppo-
nent's color.

Q: What must be adjacent to a square already occupied by a disc of the opponent's color?

A:",This vacant square
"This new disc must also be placed so that in at least one direction (vertical-
ly, horizontally, or diagonally) the newly-placed disc, together with a disc of the
player's color already on the board, brackets (or ""outflanks"") one or more discs of the
opponent's color.

Q: What is the goal of the game?

Referring to the passage above, the correct answer to the given question is","brackets (or ""outflanks"") one or more discs of the opponent's color"
"Question: ""What is the first step to make the discs the same color?""

Context: ""The bracketed disc(s) are turned over (or ""flipped"") to become the
same color as the newly placed disc.""

Answer:",turned over
"Given the following context:

If a newly-placed disc outflanks opponent's discs
in several directions at once, all such discs are flipped.

answer the following question:

A newly-placed disc outflanked a disc of whose?",opponent's
"For example, all possible legal
moves for Black's first turn are indicated with asterisks in Diagram 1 -- each choice
would result in the flipping of one or the other of the two white disks.

Q: What does flipping one or both of the white disks result in?

A:",Black's first turn
"For an example of
a move that flips more than one disc, turn to Diagram 4 for a moment.

Tom and Jerry are playing a game of disc flipping. Jerry flips three discs at once, while Tom only flips one disc at a time.

Who will win more rounds of the game?",Jerry
"Here, a White
move to d7 would flip 4 discs: d4, d5, and d6 vertically and e6 diagonally.

With reference to the above context, What would be flipped by a White move to d7?","d4, d5, and d6 vertically and e6 diagonally"
"I have a test where I am given the following article, what is the answer for the question: What is the name of the person who is the owner of the castle? ?

5.",Gwyneth
"I know that the answer to the question ""What does a player do when they have no legal moves?"" is in ""A player with no legal moves must ""pass."""". Can you tell me what it is?",pass
"Question: ""What is the object of the game?""

Context: ""For every turn in which a player must pass,
his opponent continues to take turns, taking discs from the other player's ""tray"" as nec-
essary.""

Answer:","take discs from the other player's ""tray"" as nec-"
"Given the following passage

""Thus, (unlike Reversi) a player cannot ""run out"" of discs."",

answer the following question. Note that the answer is present within the text.

Question: What is the main point of the passage?","a player cannot ""run out"" of discs"
"6.

With reference to the above context, What was the name of the company that was to be bought out?",Murdoch's
"I know that the answer to the question ""What is the rule?"" is in ""A player may not pass if he has a legal move available."". Can you tell me what it is?",A player may not pass if he has a legal move available
"Extract the answer to the question from the following context.
Question: What is the first line of the play?
Context: Othello: Brief & Basic 1
7.",Brief & Basic 1
"I can use this background: If neither player has a legal move, the game ends even if there are still vacant squares on
the board.

Now, I have a new situation: John and Keith are playing a game of checkers. After several moves each, it has come down to this. They both have no legal moves left to make. The game ends in a tie.

Answer this question please: If John and Keith have no legal moves, will the game end?",yes
"Given the following context:

Most often, the game ends when all 64 squares are filled.

answer the following question:

When does the game end?",when all 64 squares are filled
"Extract the answer to the question from the following context.
Question: What is the second to last number?
Context: 8.",8
"Once placed on the board, a disc is never moved again, though it may be flipped repeat-
edly over the course of the game.

Q: What can never be moved once placed on the board?

Referring to the passage above, the correct answer to the given question is",a disc
"A disc that currently has its white side facing up 1s
called a white disc and vice versa.

Notation & Terminology.

Q: What is the name for a disc that has its white side facing up?

A:",a white disc
"Given the following context:

In the discussions that follow, the best way to understand
the diagrams is to use a board and discs, laying out and examining the positions discussed
as you go.

answer the following question:

What is the best way to understand the diagrams?",use a board and discs
"Diagram | introduces the basics of Othello notation, as used in the diagrams.

Q: What is the name of the notation used in the diagrams?

Referring to the passage above, the correct answer to the given question is",Othello notation
"Refer to the passage below and answer the following question:

Passage: Squares are typically referred to by the letter and number that corresponds to the square, as
indicated along the borders of each diagram.

Question: What is the typical way squares are referred to?",by the letter and number that corresponds to the square
"Thus, the second square in the first row is
called the b1 square.

If you are playing a game of chess, what would you call the square that is second in the first row?",b1 square
"Some squares have additional names, as shown in Diagram 1.

With reference to the above context, What is shown in Diagram 1?",Some squares have additional names
"I know that the answer to the question ""What is the third word in the first sentence?"" is in ""Thus,
the b1 square 1s also referred to as a C-square."". Can you tell me what it is?",Thus
"In the case of double diagrams (two grids
with an arrow between): the upper grid shows (1) the board configuration prior to the
move or sequence of moves under discussion (the unnumbered discs) and (2) the move or
sequence of moves under discussion (the numbered discs); the lower grid shows the board
configuration after the move or sequence of moves under discussion has been made.

Q: What does the lower grid show?

Referring to the passage above, the correct answer to the given question is",the board configuration after the move or sequence of moves under discussion has been made.
"The
numbered discs indicate that you should place discs on the board in the numerical se-
quence shown, flipping the appropriate discs as you do so.

Q: What should you do with the numbered discs?

A:",flipping the appropriate discs
"The game of Othello is divided into three phases.

With reference to the above context, How many phases are in Othello?",three
"Refer to the passage below and answer the following question:

Passage: The approximate dividing lines are:
Opening: first 20 moves; Midgame: middle 20 moves; Endgame: last 20 moves.

Question: How many moves are in the opening?",first 20
"I know that the answer to the question ""What is the first thing mentioned in the passage?"" is in ""Other
important terms will be given in boldface when first mentioned in the sections to follow."". Can you tell me what it is?",important terms
"Given the following context:

STRATEGY & TACTICS: 21 POINTS

Othello is a game of skill.

answer the following question:

What is the first word in the first paragraph?",Othello
"Luck rarely, if ever, affects the outcome of a game.

Bob was playing a game with his friend. He lost all his games because he didn't have luck on his side. His friend won all the games, because he had luck on his side.

Which player didn't have luck on his side?",Bob
"Extract the answer to the question from the following context.
Question: Who is the less informed player?
Context: The
player who can better apply the principles discussed in this handbook will consistently win
against the less well-informed player.",less well-informed player
"Many players remain largely unaware of these prin-
ciples, perhaps because the correct strategy is often subtle and counter-intuitive and there-
fore difficult to discover without assistance.

Q: Why is it hard to discover the correct strategy without assistance?

Referring to the passage above, the correct answer to the given question is",because the correct strategy is often subtle and counter-intuitive
"These 21 points attempt to provide this assis-
tance.

Q: What is the purpose of the 21 points?

Referring to the passage above, the correct answer to the given question is",assis-
"The right move.

Q: What is the right move?

A:",The right move.
"I know that the answer to the question ""What is the difference between the game and the irony?"" is in ""The irony of Othello (as well as many other abstract strategy
games) is that even though the entire board and all the pieces are in full view at all times,
the best move is often far from obvious."". Can you tell me what it is?","The irony of Othello (as well as many other abstract strategy games) is that even though the entire board and all the pieces are in full view at all times, the best move is often far from obvious"
"Question: ""What is the first thing you need to do to find buried treasure?""

Context: ""Deciding upon the ""night"" move can be analogous
to hunting for buried treasure: you need to know (1) what it is you are looking for and (2)
how to go about finding it.""

Answer:",know what it is you are looking for
"These themes wind their way through every point in this book.

With reference to the above context, What is the main theme of this book?",wind their way through every point in this book
"Refer to the passage below and answer the following question:

Passage: For example, Points #4, #5 & #9 focus on the general characteristics of a good move and
the importance of trying to visual the future consequences of a move.

Question: What do points #4, #5, and #9 focus on?",the general characteristics of a good move
"Refer to the passage below and answer the following question:

Passage: Specific suggestions
as to how to recognize good moves in common midgame positions are made in Point #13
and again in #16.

Question: What is the number of the point where suggestions are made about recognizing good moves in common midgame positions?",Point #13
"I know that the answer to the question ""What is a game of chess played at the start?"" is in ""The discussions of openings, endgames, and edge play offer other situa-
tion specific recommendations."". Can you tell me what it is?",openings
"Point #21 finally deals with the difficult issue of how to
find the best move when (as often happens in real games) several of the ""rules"" discussed
here lead to conflicting or unclear advice.

Q: What is the problem with the rules?

A:",conflicting or unclear advice
"This book will not supply you with all the an-
swers.

Q: What does the book not supply?

A:",all the an-swers
"Extract the answer to the question from the following context.
Question: What is the purpose of the program?
Context: But it will give you a good head start.",give you a good head start
"I read this background article the other day: 1. Get More Stable Discs, Not Just More Discs

The object of Othello is to end the game with more discs than your opponent.

I am facing a new situation today: Two teams of 2 players each are playing Othello. Team A has more experienced players, while team B has less experienced players. Team A won the game.

Using the knowledge I have from the background article, how should I answer correctly the following question regarding my new situation: Which team had less experienced players?",team B
"This
ultimate goal is frequently translated, by many beginning players, into an immediate
goal throughout the game.

Q: What is the ultimate goal of the game?

A:","frequently translated, by many beginning players, into an immediate"
"That is, on each turn, a player will (with few exceptions) take
the move that flips the maximum number of discs.

Q: What is the goal of the game?

Referring to the passage above, the correct answer to the given question is",flips the maximum number of discs
